,Category
0,0
1,0
2,0
3,1
4,0
5,2
6,3
7,4
8,0
9,4
10,2
11,4
12,0
13,0
14,3
15,3
16,4
17,3
18,3
19,1
20,3
21,4
22,3
23,3
24,1
25,0
26,1
27,3
28,2
29,0
30,1
31,4
32,0
33,2
34,3
35,4
36,3
37,3
38,3
39,1
40,1
41,3
42,3
43,1
44,4
45,4
46,1
47,1
48,1
49,0
50,1
51,3
52,2
53,3
54,3
55,4
56,0
57,0
58,2
59,3
60,1
61,0
62,4
63,1
64,0
65,3
66,2
67,2
68,1
69,1
70,3
71,1
72,3
73,3
74,3
75,0
76,3
77,0
78,4
79,0
80,1
81,0
82,2
83,2
84,3
85,3
86,2
87,4
88,3
89,3
90,2
91,1
92,2
93,3
94,2
95,0
96,0
97,0
98,0
99,3
100,0
101,2
102,1
103,1
104,4
105,2
106,1
107,0
108,0
109,0
110,0
111,4
112,3
113,0
114,0
115,0
116,2
117,0
118,2
119,3
120,1
121,3
122,3
123,2
124,1
125,1
126,4
127,3
128,2
129,0
130,3
131,0
132,4
133,3
134,1
135,4
136,2
137,0
138,3
139,4
140,4
141,0
142,0
143,3
144,1
145,2
146,0
147,0
148,3
149,4
150,3
151,3
152,2
153,2
154,1
155,0
156,0
157,4
158,1
159,4
160,2
161,1
162,4
163,3
164,0
165,2
166,4
167,3
168,2
169,3
170,1
171,4
172,3
173,4
174,0
175,0
176,4
177,2
178,0
179,3
180,3
181,1
182,3
183,0
184,0
185,3
186,0
187,4
188,2
189,4
190,4
191,1
192,3
193,2
194,3
195,1
196,2
197,3
198,3
199,3
200,3
201,4
202,3
203,0
204,1
205,0
206,2
207,3
208,1
209,0
210,0
211,3
212,4
213,4
214,2
215,2
216,3
217,2
218,2
219,3
220,4
221,4
222,3
223,4
224,4
225,3
226,3
227,0
228,1
229,4
230,2
231,0
232,3
233,0
234,4
235,0
236,1
237,3
238,3
239,3
240,3
241,3
242,0
243,3
244,4
245,0
246,2
247,3
248,0
249,2
250,0
251,4
252,3
253,3
254,0
255,1
256,0
257,1
258,2
259,1
260,1
261,0
262,2
263,3
264,4
265,4
266,0
267,4
268,1
269,4
270,4
271,2
272,1
273,3
274,3
275,2
276,3
277,1
278,0
279,1
280,0
281,1
282,4
283,3
284,3
285,3
286,2
287,2
288,3
289,3
290,4
291,0
292,1
293,3
294,2
295,1
296,2
297,2
298,1
299,1
300,0
301,1
302,0
303,3
304,4
305,0
306,3
307,2
308,4
309,1
310,2
311,0
312,4
313,0
314,1
315,3
316,1
317,3
318,3
319,3
320,2
321,0
322,2
323,4
324,3
325,4
326,0
327,2
328,0
329,3
330,4
331,3
332,0
333,4
334,4
335,3
336,2
337,0
338,2
339,1
340,4
341,4
342,4
343,1
344,3
345,0
346,4
347,4
348,4
349,2
350,3
351,2
352,2
353,1
354,2
355,0
356,2
357,0
358,3
359,4
360,0
361,0
362,0
363,3
364,3
365,2
366,2
367,3
368,1
369,1
370,3
371,1
372,4
373,2
374,1
375,2
376,4
377,3
378,0
379,1
380,3
381,0
382,2
383,4
384,2
385,3
386,1
387,3
388,0
389,3
390,1
391,0
392,2
393,0
394,3
395,3
396,1
397,1
398,0
399,0
400,2
401,2
402,0
403,4
404,0
405,4
406,3
407,3
408,4
409,4
410,0
411,2
412,0
413,4
414,3
415,1
416,4
417,1
418,4
419,0
420,1
421,4
422,0
423,0
424,0
425,0
426,4
427,1
428,1
429,1
430,4
431,1
432,3
433,4
434,2
435,1
436,0
437,3
438,4
439,3
440,1
441,1
442,0
443,1
444,3
445,3
446,3
447,4
448,4
449,0
450,4
451,1
452,1
453,3
454,4
455,1
456,0
457,2
458,4
459,1
460,2
461,3
462,3
463,2
464,2
465,0
466,3
467,3
468,0
469,4
470,4
471,2
472,0
473,0
474,0
475,0
476,3
477,0
478,0
479,2
480,2
481,1
482,4
483,2
484,0
485,1
486,0
487,0
488,3
489,1
490,1
491,3
492,4
493,1
494,1
495,1
496,2
497,1
498,1
499,1
500,0
501,0
502,0
503,1
504,3
505,0
506,2
507,2
508,4
509,1
510,2
511,4
512,4
513,0
514,2
515,3
516,3
517,3
518,3
519,2
520,4
521,0
522,0
523,2
524,3
525,4
526,4
527,3
528,0
529,2
530,4
531,0
532,3
